AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV"
"Bergmann, Barbara; Grimm, Sandra; Jaekel, Franziska";"Alle Tiere sind schon da";"Kleine Vorlesegeschichten, Spiele und Lieder";Arena;"Illustration: Dulleck, Nina; Gruber, Denitza; Nagel, Tina";"9,99 €";2019;978-3-401-71389-2;"ab 2 Jahren";"Die schönsten Tiergeschichten sind in diesem hochwertigen Vorlesebuch für die Kleinsten versammelt. Wer erlebt hier kleine Abenteuer? Luna, die Katze, Lorelinda, das Ferkel, Entchen Elli und viele andere Lieblingstiere. ""Zusammen schafft man alles!"" heißt die Botschaft. Zuhören macht Spaß! Und bekannte Kinderlieder laden zum Mitsingen ein.";"Unzerreißbar mit verschiedenen Prägungen und UV-Lackierung.";Pappband;40;"20,3cm x 20,6cm";alle-tiere-sind-schon-da.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71389-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138292&kennwort=KKNOCNHONDFJMP&variante=zoom&rang=01
"Berner, Rotraut Susanne";Nacht-Wörterwimmelbuch;"Mit arabischer Bildwörterleiste";"Gerstenberg Verlag";;"9,95 €";2019;978-3-8369-5699-4;"ab 2 Jahren";"Rotraut Susanne Berners Wimmelbücher sind wegen ihrer vielfältigen Einsatzmöglichkeiten in Kindergärten, Schulen und in der Logopädie beliebte Klassiker. Das Nacht-Wörterwimmelbuch unterstützt diesen Aspekt auf neue Weise. Jede Doppelseite bildet unten auf einem Rand verschiedene Dinge des jeweiligen Wimmelbildes noch einmal ab und benennt sie - mit Artikel! Pro Doppelseite findet man Begriffe zum Thema: Schlafen; Tiere; Alles, was blau ist; Kultur; Polizeieinsatz; Kleidung; Sommernachtsfest.Mit arabischer Bildwörterleiste.Beste Unterstützung für den spielerischen Spracherwerb!";"Durchgehend farbig, unzerreißbar, mit echter Buchdecke.";Pappband;14;"16cm x 27,4cm";nacht-woerterwimmelbuch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5699-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901627&kennwort=PBILQEILPBGSNF&variante=zoom&rang=01
"Carle, Eric";"Die kleine Raupe Nimmersatt - Mein großes Bildwörterbuch";;"Gerstenberg Verlag";;"16,95 €";2019;978-3-8369-5672-7;"ab 2 Jahren";"Eric Carle macht unsere Welt schon für die ganz kleinen Leser erfahrbar. In diesem Buch feiert er ein Wiedersehen mit seinen beliebtesten Figuren und präsentiert mit ihnen spannende Themen. Ob Garten, Meer oder Bauernhof, ob Wetter, Fahrzeuge oder Tiere, ob Zahlen, Farben, Formen oder Gegensätze, ob Essen, Kleidung oder Gefühle - alles findet sich in diesem umfassenden Bildwörterbuch.";"Durchgehend farbig, Cover mit Spotlack.";gebunden;80;"20,7cm x 28,6cm";die-kleine-raupe-nimmersatt-mein-grosses-bildwoerterbuch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5672-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901465&kennwort=RHNSHLQDJWCLME&variante=zoom&rang=01
"Caruth, Tilda";"Ich hab dich lieb, kleiner Kuschelfuchs!, Stoffbilderbuch";;Arena;"Übersetzung: Richert, Katja. Illustration: Sheldon, Christine";"14,99 €";2019;978-3-401-71285-7;"ab 6 Monaten";"Ein zauberhaftes erstes Stoffbuch mit wunderschönen Reimen für die Kleinsten, das gleichzeitig ein kuscheliges Spielzeug ist. Lustige Knisterfolie in den Ohren und ein Quietscher im Fuchsbauch machen jede Menge Spaß beim Kuscheln, Spielen und Begreifen.";"Stoffbuch mit Knisterfolie in den Ohren, Fühlnoppen an einem Ohr, Quietscher und Satinband Untersch.";Nonbook;8;"23cm x 31cm";ich-hab-dich-lieb-kleiner-kuschelfuchs-stoffbilderbuch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71285-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73664086&kennwort=WMPFSOHIQEKPEH&variante=zoom&rang=01
"Galloni, Elena";"Wer steckt unter dem Hut?";;"Gerstenberg Verlag";;"9,95 €";2019;978-3-8369-5692-5;"ab 2 Jahren";"Da liegt ein großer blauer Hut. Und darunter steckt jemand. Aber wer? Ein Elefant! Aber da ist ja noch ein Hut! Ein roter. Auf dem Kopf des Elefanten. Und darunter steckt jemand. Aber wer? Seite um Seite tauchen neue Hüte auf. Wer sie hochklappt, entdeckt, wer sich darunter versteckt hat. So verschieden die Tiere, so verschieden die Hüte. Immer kleiner werden sie. Aber wer steckt dann bloß unter dem Hütchen vom Wurm? Ein ebenso einfaches wie pfiffiges Klappbuch mit überraschendem Ende.";"Mit zahlreichen bunten Bildern und Klappen, unzerreißbar.";Pappband;18;"16,7cm x 20,4cm";wer-steckt-unter-dem-hut.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5692-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901581&kennwort=PPHHORGKORFHMY&variante=zoom&rang=01
"Królak, Agata";"Wie Bären so sind";;"Gerstenberg Verlag";"Übersetzung: Weiler, Hanne; Weiler, Thomas";"9,95 €";2019;978-3-8369-5694-9;"ab 2 Jahren";"Ein Buch für alle, die wissen wollen, wodurch sich Bären unterscheiden. Auf 13 Doppelseiten gibt es 13 Gegensatzpaare, in denen sich garantiert jedes Kind wiederfindet: Ein Bär kann fröhlich oder traurig sein, klein oder groß, mutig oder schüchtern. Ein Buch über Gegensätze.";"Durchgehend farbig, unzerreißbar.";Pappband;30;"17,8cm x 19,3cm";wie-baeren-so-sind.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5694-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901605&kennwort=LLMQLFMLRDHKNP&variante=zoom&rang=01
"Kulot, Daniela";"Ich auch!";;"Gerstenberg Verlag";;"9,95 €";2019;978-3-8369-5684-0;"ab 2 Jahren";"Das Schwein hat einen runden Bauch. Ich auch! Kinder lieben es, ihren Körper von Kopf bis Fuß spielerisch zu erforschen und kennenzulernen. Und zusammen mit Mama und Papa ist es gleich doppelt so schön. Ein Mitmachbuch, um mit viel Spaß den eigenen Körper zu erleben. Zum gemeinsamen Anschauen, Vorlesen, Mitreimen und miteinander spielen!";"Durchgehend farbig, unzerreißbar.";Pappband;30;"15,8cm x 21,8cm";ich-auch.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5684-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901535&kennwort=MMBNIQAHKPDHKO&variante=zoom&rang=01
"Müller, Thomas";"Tiere im Garten";;"Gerstenberg Verlag";;"12,95 €";2019;978-3-8369-5670-3;"ab 2 Jahren";"Was kriecht und krabbelt und fliegt denn da? Im Garten gibt es so viele Tiere zu entdecken! Im Teich quakt munter ein Frosch, im Gebüsch raschelt ein Igel, und auch vor Wespen müssen wir keine Angst haben. In diesem Buch mit seinen liebevoll gestalteten Ausklappseiten lassen sich diese und viele weitere Gartenbewohner aus der Nähe betrachten und durch kurze, aussagekräftige Sachtexte besser kennenlernen.Rotkehlchen, Schnecke, Siebenschläfer, Schmetterling, Frosch, Wespe, Igel";"Mit zahlreichen bunten Bildern und 7 Klappseiten, unzerreißbar.";Pappband;14;"15,8cm x 20,4cm";tiere-im-garten.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5670-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901443&kennwort=HILORDEITNEDJL&variante=zoom&rang=01
"Raecke, Renate";"Schnick Schnack Schabernack";"Das Hausbuch der Reime und Lieder für die Allerkleinsten";"Gerstenberg Verlag";"Herausgegeben von Raecke, Renate; Blume, Monika. Illustration: Raidt, Gerda";"18,00 €";2019;978-3-8369-5638-3;"von 2 bis 99 Jahren";"Jetzt als Sonderausgabe im handlichen Format!Dieses hinreißend illustrierte Hausbuch mit einer Fülle an traditionellen und modernen Kinderreimen, Versen, Kniereitern, Liedern und Gedichten ist ein wunderbares Geschenk zu Geburt, Taufe und Geburtstag und ein fröhlicher Begleiter durch die ersten Lebensjahre.";"Durchgehend farbig.";gebunden;144;"19,4cm x 24,6cm";schnick-schnack-schabernack.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5638-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901351&kennwort=MMBNIQAHKPDHKO&variante=zoom&rang=01
"Sahm, Nina";"Magische Reise. Im Wald";;"Dorling Kindersley";"Illustration: Taylor, Nadia";"9,95 €";2019;978-3-8310-3702-5;"ab 2 Jahren";"Außergewöhnliches Kinderbuch ab 2 Jahren.Mit dem originellen, hochwertigen Pappbilderbuch wandern Kinder auf noch nie da gewesene Art im Reich der Waldtiere umher. Die verschieden großen Seiten in Baumkronenform sind übereinander gestaffelt angeordnet und lassen sich nach und nach aufblättern. Individuelle Glanz- und Strukturelemente sowie poetisch gereimte Texte machen die Seiten mit Panorama-Stanzung zu etwas ganz Besonderem. Mit witzigem Guckloch im Cover!. Zauberhaft illustriertes Bilderbuch zum super Preis! - Mit allen Sinnen begreifen.- Einmalig kreative Gestaltung.- Ausgefallene Illustrationen.- Kreative Strukturelemente.- Entzückende Texte..  Gehen Sie jetzt mit dem Nachwuchs auf eine magische Reise! Ein tolles Geschenkbuch für Kinder!";"Mit Glanz- und Strukturelementen, formgestanzten Seiten und farbigen Illustrationen, mit Guckloch im Cover, Glanz- und Strukturelementen und Panorama-Stanzung (als Fühlelemente).";Pappband;10;"21cm x 23cm";magische-reise-im-wald.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8310-3702-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74771498&kennwort=DLQDJWCLMEIODI&variante=zoom&rang=01
"Badstuber, Martina";"Ich kenn ein Land, das du nicht kennst ..., 1 Audio-CD";"CD Standard Audio Format, Lesung. 50 Min.";Audiolino;"Gesprochen von Moll, Anne";"12,90 €";2019;978-3-86737-318-0;"ab 6 Jahren";"Wo gibt's denn so was: Käfer, die sich in Bierflaschen verlieben, Krähen, die Fußball spielen und Esel beim Friseur? Und aus Elefanten-Kacka macht man Papier? Das und noch viel mehr Wundersames und Wissenswertes kann man in diesem außergewöhnlichen Kinder-Sachhörbuch entdecken. Eine spannende Weltreise voller Witz und Fantasie, die nicht nur kleine Ohren schlau macht ...";Jewelcase.;CD;1;;ich-kenn-ein-land-das-du-nicht-kennst-1-audio-cd.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-86737-318-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75384246&kennwort=VOQDJWCLMEIODH&variante=zoom&rang=01
"Inden, Charlotte";"Bei mir zu Hause wohnt ein Tiger, 1 Audio-CD";"Lesung mit Musik mit Jochen Bendel (1 CD), Lesung. CD Standard Audio Format. 79 Min.";"Der Audio Verlag, DAV";"Illustration: Grigo, Pe. Gesprochen von Bendel, Jochen";"9,99 €";2019;978-3-7424-0940-9;"ab 3 Jahren";"Oskar ist drei und erlebt mit seiner Schwester Klara und Stoff-Tiger Theo in einem Jahr so allerhand. Er erzählt von den Sommerferien bei Oma und Opa, wie er sich in der Bibliothek ein Buch ausleiht, mit Mama Fahrrad fährt und im Zoo Robben beobachtet. Natürlich erzählt er auch, wie er mit Enno Räuber spielt, mit Mama und Klara Plätzchen backt, und von Herrn Schmitteckert von nebenan. Und Mittagsschlaf halten im Kindergarten, das macht Oskar übrigens nicht mehr. Das ist nämlich nur was für Babys. Und bald wird Oskar ja schon vier! Jochen Bendel erzählt von vielen kleinen Alltagsabenteuern, in denen sich alle Kindergartenkinder wiederfinden.. Lesung mit Musik mit Jochen Bendel1 CD ca. 1 h 19 min";;CD;;;bei-mir-zu-hause-wohnt-ein-tiger-1-audio-cd.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7424-0940-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74887840&kennwort=BKPCILBOKTEMQG&variante=zoom&rang=01
"Kriegel, Volker";"Olaf, der Elch, Olaf taucht ab, Olaf hebt ab, 3 Audio-CDs";"Alle Olaf-Geschichten in einer Box. . , Lesung. CD Standard Audio Format. 132 Min.";"Bastei Lübbe";"Gesprochen von Bach, Dirk. Komposition: Oleak, Rainer";"10,00 €";2019;978-3-7857-5983-7;"Keine Altersangabe";"""Diese Olaf-Trilogie gehört zum Schönsten, was ich je in meinen CD-Player schob! Volker Kriegels originelle Geschichten sind für Kinder und Erwachsene gleichermaßen fesselnd - unterstützt von Rainer Oleaks sinfonischen Kompositionen sind sie GOLD. Tja. Und dann Dirk Bach ... der mit seiner Interpretationskunst mobbende Bären, einen - der Fischspeisen überdrüssigen - Seemann und blinde Schneehühner zum Leben erweckt ... Da kann ich nur sagen: DANKE für diesen Auflauf an Talent!"" Hella von Sinnen";"Erstauflage, Spieldauer 132 Min, für Kinder & Jugendliche.";CD;;;olaf-der-elch-olaf-taucht-ab-olaf-hebt-ab-3-audio-cds.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7857-5983-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74195160&kennwort=IJMMRCGRLSBHJN&variante=zoom&rang=01
"Krüss, James";"Henriette Bimmelbahn und ihre Freunde, 1 Audio-CD";"Szenische Lesung mit Musik mit Uwe Friedrichsen und Angelika Mann (1 CD), Lesung. CD Standard Audio Format. 39 Min.";"Der Audio Verlag, DAV";"Illustration: Stich, Lisl. Gesprochen von Friedrichsen, Uwe; Mann, Angelika";"9,99 €";2019;978-3-7424-0939-3;"ab 4 Jahren";"Der Hörbuch-Klassiker, gelesen von Uwe Friedrichsen, lädt mit viel Musik zum Immer-wieder-Hören, Singen, Mitsprechen und Weiterreimen ein. Das Hörbuch enthält folgende Geschichten:""Henriette Bimmelbahn""""Der blaue Autobus""""Der kleine Doppeldecker""""Die ganz besonders nette Straßenbahn""""Wer rief denn bloß die Feuerwehr?""""Das U-Boot Fritz""""Hubschrauberchen""""Der kleine rosa Zeppelin"". Szenische Lesung mit Musik mit Uwe Friedrichsen und Angelika Mann1 CD ca. 39 min";;CD;;;henriette-bimmelbahn-und-ihre-freunde-1-audio-cd.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7424-0939-3;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74887768&kennwort=JGLSIOCJNESPJL&variante=zoom&rang=01
"Kulot, Daniela";"Reim dich nett ins Bett und weitere Reimgeschichten, 1 Audio-CD";"Hörspiel (1 CD), Hörspiel. CD Standard Audio Format. 30 Min.";"Der Audio Verlag, DAV";"Illustration: Kulot, Daniela";"9,99 €";2019;978-3-7424-1041-2;"von 0 bis 3 Jahren";"Max kann nicht schlafen. Und wenn Max nicht schlafen kann, dann reimt sein Papa mit ihm. Zum Beispiel über Würmer im Sturm und Pferde am Herd. Und wenn Max dann immer noch nicht müde ist, dann zählen sie noch zusammen Schafe und Fledermäuse! Das fröhliche Hörspiel verbindet Daniela Kulots beliebte Bilderbücher mit der für Kinder vertrauten Einschlafsituation. So können schon die Kleinsten dem Reimspaß von Max folgen. Ein Titelsong mit Ohrwurmgarantie, lustige Geräusche und kindgerechte Formulierungen fördern Sprachverständnis und Fantasie. Mit ""Reim dich nett ins Bett"" wird Einschlafen zum Kinderspiel!. Hörspiel1 CD ca. 30 min";;CD;;;reim-dich-nett-ins-bett-und-weitere-reimgeschichten-1-audio-cd.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7424-1041-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74873295&kennwort=JFHQFMSILDHOMJ&variante=zoom&rang=01
"Muszynski, Eva; Teich, Karsten";"Trudel Gedudel purzelt vom Zaun, 1 Audio-CD";"Ungekürzte szenische Lesung mit Musik mit Stefan Kaminski (1 CD), Lesung. CD Standard Audio Format. 79 Min.";"Der Audio Verlag, DAV";"Illustration: Teich, Karsten. Gesprochen von Kaminski, Stefan";"7,99 €";2019;978-3-7424-1033-7;"ab 5 Jahren";"Trudel Gedudel ist nicht wie die anderen Hühner: Sie ist neugierig und abenteuerlustig, der Hahn interessiert sie nur, wenn er zum Aufstehen kräht. Kein Wunder, dass sie ihrer Möwenfreundin Gräten-Käthe folgt, als sie durch einen Unfall außerhalb des Zauns landet. Schließlich will Trudel dieses ""Mehr"" sehen, von dem Käthe immer erzählt. Am alten Strandkorb treffen sie sich, hat die Möwe noch gesagt. Aber ob das gut gehen kann: ein kleines Huhn und das große Meer? Voller Wortwitz und Ideenreichtum erzählt Stefan Kaminski von den Abenteuern der kleinen Henne Trudel.. Ungekürzte szenische Lesung mit Musik mit Stefan Kaminski1 CD ca. 1 h 19 min";;CD;;"12,5cm x 14,1cm";trudel-gedudel-purzelt-vom-zaun-1-audio-cd.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7424-1033-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74873087&kennwort=WPNKEGPELRHLCG&variante=zoom&rang=01
"Preußler, Otfried";"Die große Preußler-Hörspiel-Box, 6 Audio-CDs";"Die kleine Hexe - Der kleine Wassermann - Das kleine Gespenst. Hörspiele (6 CD), Hörspiel. CD Standard Audio Format. 358 Min.";"Der Audio Verlag, DAV";"Illustration: Gebhardt-Gayler, Winnie; Tripp, F. J. Gesprochen von Maire, Laura; Wawrczeck, Jens";"24,99 €";2019;978-3-7424-1007-8;"ab 5 Jahren";"Hörspielfans aufgepasst! Otfried Preußlers kleine Hexe, das kleine Gespenst und der kleine Wassermann geben sich ein Stelldichein. Über fünf Stunden grandioser Hörspielspaß mit bekannten und beliebten Sprechern wie Jens Wawrczeck, Friedhelm Ptok, Laura Maire u.v.a.. Die große Preußler-Hörspiel-Box enthält folgende Hörspiele:- Die kleine Hexe- Das kleine Gespenst- Der kleine Wassermann. Hörspiele mit Laura Maire, Jens Wawrczeck, Fritzi Haberlandt, Andreas Pietschmann u.v.a.6 CDs 5 h 58 min";;CD;;"12,8cm x 14,8cm";die-grosse-preussler-hoerspiel-box-6-audio-cds.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7424-1007-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74887816&kennwort=MGNDJNEIPNKEGP&variante=zoom&rang=01
"Städing, Sabine";"Petronella Apfelmus - Die Hörspielreihe, 1 Audio-CD";"Teil 1 - Verhext und festgeklebt. , Hörspiel. CD Standard Audio Format. 75 Min.";"Bastei Lübbe";"Illustration: Büchner, Sabine. Gesprochen von Spier, Nana; Diverse";"9,90 €";2019;978-3-7857-5968-4;"ab 8 Jahren";"Apfelhexe Petronella Apfelmus wohnt im Garten einer alten Mühle. Hier hat sie es sich in einem Apfel richtig gemütlich gemacht. Genauso gerne aber fliegt sie auf dem Rücken von Hirschkäfer Lucius in der Gegend herum. Doch eines Tages zieht Familie Kuchenbrand mit ihren zwei Kindern in das Haus ein - vorbei ist es mit der Ruhe! Petronella versucht zwar, die neuen Mieter mit allerlei Hexenspuk zu vergraulen, doch nichts hilft. Zum Glück merkt Petronella bald, dass die neuen Nachbarn doch schwer in Ordnung sind ...";"Erstauflage, Spieldauer 79 Minuten, 15 Tracks.";CD;;"12,4cm x 13,9cm";petronella-apfelmus-die-hoerspielreihe-1-audio-cd.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7857-5968-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74195055&kennwort=KMBNIQAHKPDHIO&variante=zoom&rang=01
"Städing, Sabine";"Petronella Apfelmus - Die Hörspielreihe, 1 Audio-CD";"Teil 2 - Zauberschlaf und Knallfroschchaos. , Hörspiel. CD Standard Audio Format. 75 Min.";"Bastei Lübbe";"Illustration: Büchner, Sabine. Gesprochen von Spier, Nana; Diverse";"9,90 €";2019;978-3-7857-5969-1;"ab 8 Jahren";"Petronella Apfelmus und die Kuchenbrand-Zwillinge freuen sich, als ein Zirkus in die Stadt kommt. Schon bald freunden Lea und Luis sich mit ein paar Kindern aus der Zirkustruppe an. Endlich können sie mal sehen, wie es hinter den Kulissen zugeht. Im Zirkus fällt den Zwillingen jedoch sofort Spitzbartrix auf, der den erkrankten Zirkusdirektor vertritt: Er treibt die kleinen Artisten zu viel zu hartem Training an und behandelt auch die Zirkustiere überhaupt nicht gut. Da hört der Spaß auf: Petronella muss helfen - und zwar schnell!";"Erstauflage, Spieldauer 75 Min.";CD;;;petronella-apfelmus-die-hoerspielreihe-1-audio-cd.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7857-5969-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74195066&kennwort=TKPBILBOKTEMQG&variante=zoom&rang=01
"Williams, Margery";"Der kleine Kuschelhase - Oder: Wie ein Spielzeug lebendig wird, 1 Audio-CD";"Ungekürzte Lesung mit Musik mit Rainer Strecker (1 CD), Lesung. CD Standard Audio Format. 79 Min.";"Der Audio Verlag, DAV";"Übersetzung: Gärtner, Hans. Illustration: Massini, Sarah. Gesprochen von Strecker, Rainer";"9,99 €";2019;978-3-7424-0887-7;"ab 5 Jahren";"Der kleine Kuschelhase hat einen großen Traum: lebendig zu werden und mit den anderen Hasen im Wäldchen hinter dem Haus herumzutollen. Umso aufgeregter ist er, als das Holzpferd ihm eines Tages erzählt, dass Kuscheltiere tatsächlich zum Leben erweckt werden können - wenn ein Kind sie über alles liebt. Wie gut, dass der kleine Junge, bei dem der Kuschelhase lebt, ihn mehr und mehr in sein Herz schließt. Wird seine Treue und Liebe am Ende belohnt und sein Herzenswunsch tatsächlich in Erfüllung gehen?. Ungekürzte Lesung mit Musik mit Rainer Strecker1 CD ca. 1 h 19 min";;CD;;"12,5cm x 13,9cm";der-kleine-kuschelhase-oder-wie-ein-spielzeug-lebendig-wird-1-audio-cd.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7424-0887-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74887827&kennwort=KGNDJNEIPNKEGP&variante=zoom&rang=01
;"ErlebnisWelt Natur - Giraffe";"Notiz- & Tagebuch";"360 Grad";;"9,99 €";2017;978-3-96185-024-2;"Keine Altersangabe";"Das Notizbuch zum Sachbuch ""ErlebnisWelt Natur"".";;gebunden;240;"17,2cm x 25,4cm";erlebniswelt-natur-giraffe.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-96185-024-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=65266125&kennwort=KLNOCNHONDFJMP&variante=zoom&rang=01
;"Waldtiere Quartett (Kartenspiel)";"Spielen, Trumpfen, Staunen!. Für 2-5 Spieler";"moses. Verlag";;"5,95 €";2010;4033477096722;"ab 7 Jahren";"Sammele alle Nestbauer! Hast du schon die 4 Könige des Waldes? Wer hat die meisten Kauwerkzeuge?Wusstest du, dass der Rothirsch 350 kg wiegt?. 2 Spiele in einem: Quartett und Trumpf-Spiel!Passt in jede Hosentasche, vertreibt Langeweile und macht Lust auf eine Expedition in die Natur!. Spielspaß mit Lerneffekt! Attraktive Metalldose.";"Inhalt: 36 Karten, in Metall-Box.";Spiel;;"7,4cm x 32,7cm";;;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=25113974&kennwort=OXCKKREJNRFIKP&variante=zoom&rang=01
"Carle, Eric";"Die kleine Raupe Nimmersatt - Mein kunterbuntes Knetset";;"Gerstenberg Verlag";;"7,95 €";2019;4250915932323;"ab 3 Jahren";"Kugeln aus Knete formen, Farben mischen, Formen bilden - da sind auch schon die kleinsten Raupenfans mit Feuereifer dabei. Dank einer ausführlichen und gut verständlichen Anleitung mit Fotos kann eine tolle Raupe Nimmersatt entstehen - und vielleicht sogar noch ein bisschen Obst, das sie anknabbern kann. Die Knete ist qualitativ hochwertig, in Deutschland gefertigt und auch langzeitig gut zu verarbeiten.Hinweis: Nicht geeignet für Kinder unter 36 Monaten!";"10 Stangen, 6 Farben, im Karton.";Nonbook;;"12,2cm x 16,2cm";die-kleine-raupe-nimmersatt-mein-kunterbuntes-knetset.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=4250915932323;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901684&kennwort=VMQDJWCLMEIODI&variante=zoom&rang=01
"Carle, Eric";"Die kleine Raupe Nimmersatt - Magnetlesezeichen";;"Gerstenberg Verlag";;"29,50 €";2014;4250915930404;"Keine Altersangabe";"Wer mit der kleinen Raupe Nimmersatt aufgewachsen ist, erinnert sich immer wieder gern an sie. Diese praktischen und dekorativen Magnetlesezeichen mit Motiven aus dem Buch werden sicher nicht nur Kindern beim Lesen helfen. Die Raupe Nimmersatt wird sich auch gern durch die Bücher der großen Fans fressen - denn satt ist sie noch immer nicht!";"Für Kinder & Jugendliche.";Nonbook;;"9,2cm x 14,8cm";die-kleine-raupe-nimmersatt-magnetlesezeichen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=4250915930404;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=44596745&kennwort=SLREHNKGPAIMSH&variante=zoom&rang=01
